Frequency (Hz),Impedance Magnitude (Ω)
1000000,86.3965836247564
794328.234724282,67.2020601880604
630957.344480193,53.1719007972774
501187.233627272,42.4402937386285
398107.170553497,34.239282195073
316227.766016838,28.0822137398265
251188.643150958,23.4184228621405
199526.231496888,19.8998656245805
158489.319246111,17.3295465013514
125892.541179417,15.5064718667343
100000,14.2191156804587
79432.8234724282,13.6061985447266
63095.7344480193,12.7906515812679
50118.7233627273,12.5773526785341
39810.7170553497,12.2038599999239
31622.7766016838,12.1716763767823
25118.8643150958,12.053114097608
19952.6231496888,12.0024565715246
15848.9319246111,11.9925959622856
12589.2541179417,12.1349914101687
10000,12.3130431066147
7943.28234724281,12.1799329342656
6309.57344480193,12.5226854239423
5011.87233627272,12.5359256274303
3981.07170553497,12.9727659617726
3162.27766016838,13.3487378365669
2511.88643150958,14.0324137364435
1995.26231496888,15.0911923989134
1584.89319246111,16.363993103597
1258.92541179417,18.3804246571108
1000,20.8870188369446
794.328234724281,24.3334324947935
630.957344480193,28.8996048095368
501.187233627272,34.6032513369373
398.107170553497,42.0239985706684
316.227766016838,51.4279847502234
251.188643150958,63.2229443347512
199.526231496888,77.8922640047613
158.489319246111,96.3558444927948
125.892541179417,119.349942211192
100,147.470957090042
79.4328234724281,182.117833857332
63.0957344480193,224.658207397901
50.1187233627273,276.263605042843
39.8107170553497,338.769007195045
31.6227766016838,414.248106125951
25.1188643150958,506.16138035052
19.9526231496888,606.880919906359
15.8489319246111,724.965270549787
12.5892541179417,854.231678806156
10,1003.86035124268
7.94328234724281,1135.44513562286
6.30957344480193,1261.81788180812
5.01187233627271,1367.76320967829
3.98107170553497,1499.41716668491
3.16227766016838,1571.18911290028
2.51188643150958,1658.15785647953
1.99526231496888,1735.77328895759
1.58489319246111,1715.87363897869
1.25892541179417,1759.11451613293
1,1739.09505320841
