Potential (V),[Capacitance]⁻² (F)⁻²
-1,15341526285241.2
-0.98,15080831576512.3
-0.96,15456391113316.8
-0.94,15590642728440.3
-0.92,14718555357580.7
-0.9,15378086132898.9
-0.88,15516822845581.7
-0.86,14914538050573.1
-0.84,14471805002426.5
-0.82,14134371200667.6
-0.8,14350301427803.5
-0.78,14650678288625.7
-0.76,14530256720757.1
-0.74,13606910557033.5
-0.72,13576166047021.7
-0.7,14044290130006.4
-0.68,13461013896805.4
-0.66,13007500194555.5
-0.64,13490904546652.4
-0.62,12522653202514.3
-0.6,12375191749809.1
-0.58,12293359416730.6
-0.56,12741030582722.8
-0.54,12258099437369.4
-0.52,12774896155858.6
-0.5,11998346902554.4
-0.48,11693887679843.2
-0.46,11375966841206
-0.44,11491044184519.6
-0.42,11819497220362.9
-0.4,11249378945270.6
-0.38,11429344342046.1
-0.36,11850774625879.8
-0.34,10996766256797.8
-0.32,11152259434975.7
-0.3,11162791374700.2
-0.28,10442615467768.4
-0.26,10881804120616.6
-0.24,10722254139452.5
-0.22,10070472795027.7
-0.2,10475020778057.1
-0.18,9694252254853.61
-0.16,9735034954597.24
-0.14,10043607888727.7
-0.12,9687268216716.38
-0.1,9240161048257.17
-0.08,9032090101965.24
-0.06,8880069436407.01
-0.04,9472346801370.6
-0.02,9354858023605.13
0,9424640929020.79
0.02,9331446432204.66
0.04,8923508703279.94
0.06,9342764153244.01
0.08,9138494136485.52
0.1,8782129894731.09
0.12,8765782984053.15
0.14,8879106455695.82
0.16,8920448465707.2
0.18,8970673741687.43
0.2,8953289210769.34
0.22,8778656598099.55
0.24,9079508925124.15
0.26,8963342915606.18
0.28,9418971168252.07
0.3,9183991458596.76
0.32,9308381647350.08
0.34,9275829563745.09
0.36,9419231358837.97
0.38,10142448944056.8
0.4,10724000196271.2
