Frequency (Hz),Phase Angle (rad)
1000000,-1.82343749291603
794328.234724282,-1.6933909490946
630957.344480193,-1.58283667147403
501187.233627272,-1.48117071467482
398107.170553497,-1.37857880077392
316227.766016838,-1.27307448817886
251188.643150958,-1.15694330619
199526.231496888,-1.03585600896768
158489.319246111,-0.913753591438234
125892.541179417,-0.789109156292172
100000,-0.674147137053008
79432.8234724282,-0.557067407168574
63095.7344480193,-0.475362013347703
50118.7233627273,-0.391684689017483
39810.7170553497,-0.338874055579847
31622.7766016838,-0.288110947634258
25118.8643150958,-0.25642564664359
19952.6231496888,-0.232739885989252
15848.9319246111,-0.223081884569923
12589.2541179417,-0.221898028951293
10000,-0.228966341518758
7943.28234724281,-0.252435950548263
6309.57344480193,-0.278094757542281
5011.87233627272,-0.325663634552238
3981.07170553497,-0.374754262758425
3162.27766016838,-0.443741061299203
2511.88643150958,-0.525026485420028
1995.26231496888,-0.610299109343235
1584.89319246111,-0.712611649352974
1258.92541179417,-0.806418415250313
1000,-0.913246633859079
794.328234724281,-1.00340241777947
630.957344480193,-1.08114222507581
501.187233627272,-1.14946717937273
398.107170553497,-1.20475485048498
316.227766016838,-1.25154861059691
251.188643150958,-1.2851716509041
199.526231496888,-1.31031381175295
158.489319246111,-1.32651784678904
125.892541179417,-1.33495172655179
100,-1.34078268289729
79.4328234724281,-1.33482666654217
63.0957344480193,-1.32314158216454
50.1187233627273,-1.30147326873961
39.8107170553497,-1.27207423359672
31.6227766016838,-1.23854692165842
25.1188643150958,-1.19076264845068
19.9526231496888,-1.14101949964649
15.8489319246111,-1.07409824163488
12.5892541179417,-1.00162794453954
10,-0.905982831145511
7.94328234724281,-0.838258699012719
6.30957344480193,-0.73585034867216
5.01187233627271,-0.619651648888714
3.98107170553497,-0.550479928333107
3.16227766016838,-0.50545753782001
2.51188643150958,-0.431208395798211
1.99526231496888,-0.358901150824423
1.58489319246111,-0.300651228163432
1.25892541179417,-0.28643161234554
1,-0.2320179367761
